# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
many	det.	a large number
very	adv.	to a high degree
too	adv.	excessively; also
also	adv.	in addition
only	adv.	no more than; solely
just	adv.	exactly; only; very recently
even	adv.	used for emphasis
still	adv.	up to this time; nevertheless
always	adv.	at all times
never	adv.	at no time
often	adv.	frequently
really	adv.	in reality; very
actually	adv.	in fact
clearly	adv.	in a clear manner
obviously	adv.	in an obvious way
probably	adv.	almost certainly
certainly	adv.	without doubt
definitely	adv.	without question
completely	adv.	fully; totally
entirely	adv.	completely
totally	adv.	completely
fully	adv.	completely
mainly	adv.	for the most part
generally	adv.	usually; in general
especially	adv.	particularly
particularly	adv.	especially
specifically	adv.	in a specific way
therefore	adv.	for that reason
however	adv.	nevertheless; in whatever way
nevertheless	adv.	in spite of that
meanwhile	adv.	in the intervening time
furthermore	adv.	in addition
moreover	adv.	in addition
instead	adv.	as an alternative
rather	adv.	to some degree; preferably
quite	adv.	to a certain extent; completely
fairly	adv.	to a moderate degree
somewhat	adv.	to some extent
slightly	adv.	to a small degree
nearly	adv.	almost
almost	adv.	very nearly
exactly	adv.	in an exact way
precisely	adv.	exactly
properly	adv.	in a proper way
adequately	adv.	to a sufficient degree
sufficiently	adv.	enough
efficiently	adv.	in an efficient way
effectively	adv.	in an effective way
successfully	adv.	in a successful way
carefully	adv.	in a careful way
attentively	adv.	with attention
deliberately	adv.	on purpose
intentionally	adv.	on purpose
accidentally	adv.	by accident
definition	n.	a statement of the meaning of a word or phrase
suggestion	n.	an idea or plan offered for consideration
spell	v.	to name or write the letters of a word
spell	n.	a period of activity or condition
1st	adj.	indicating the beginning unit in a series
2nd	adj.	coming next after the first in position in space or time or degree or magnitude
3rd	adj.	coming next after the second and just before the fourth in position
4th	adj.	coming next after the third and just before the fifth in position or time or degree or magnitude
5th	adj.	coming next after the fourth and just before the sixth in position
6th	adj.	coming next after the fifth and just before the seventh in position
7th	adj.	coming next after the sixth and just before the eighth in position
8th	adj.	coming next after the seventh and just before the ninth in position
9th	adj.	coming next after the eighth and just before the tenth in position
a	n.	a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
a	n.	any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
a	n.	one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
a	n.	(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
a	n.	the basic unit of electric current adopted under the Systeme International d'Unites
a	n.	the 1st letter of the Roman alphabet
a	n.	the blood group whose red cells carry the A antigen
aa	n.	a dry form of lava resembling clinkers
aa	n.	an international organization that provides a support group for persons trying to overcome alcoholism
aa	n.	an associate degree in arts
aaa	n.	an aneurysm of the abdominal aorta associated with old age and hypertension
aachen	n.	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
aah	v.	express admiration and pleasure by uttering `ooh' or `aah'
aardvark	n.	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aaron	n.	United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
aaron	n.	(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
ab	n.	a bachelor's degree in arts and sciences
ab	n.	the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August)
ab	n.	the muscles of the abdomen
ab	n.	the blood group whose red cells carry both the A and B antigens
aba	n.	a loose sleeveless outer garment made from aba cloth; worn by Arabs
aba	n.	a fabric woven from goat hair and camel hair
aback	adv.	having the wind against the forward side of the sails
aback	adv.	by surprise
abacus	n.	a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacus	n.	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abaft	adv.	at or near or toward the stern of a ship or tail of an airplane
abalone	n.	any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abandon	n.	the trait of lacking restraint or control; reckless freedom from inhibition or worry
abandon	n.	a feeling of extreme emotional intensity
abandon	v.	forsake, leave behind
abandon	v.	give up with the intent of never claiming again
abandon	v.	leave behind empty; move out of
abandon	v.	stop maintaining or insisting on; of ideas or claims
abandon	v.	leave someone who needs or counts on you; leave in the lurch
abandonment	n.	the act of giving something up
abandonment	n.	withdrawing support or help despite allegiance or responsibility
abandonment	n.	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abase	v.	cause to feel shame; hurt the pride of
abasement	n.	a low or downcast state; - H.L.Menchken
abasement	n.	depriving one of self-esteem
abash	v.	cause to be embarrassed; cause to feel self-conscious
abashed	v.	cause to be embarrassed; cause to feel self-conscious
abashed	adj.	feeling or caused to feel uneasy and self-conscious
abashment	n.	feeling embarrassed due to modesty
abate	v.	make less active or intense
abate	v.	become less in amount or intensity
abated	v.	make less active or intense
abated	v.	become less in amount or intensity
abatement	n.	an interruption in the intensity or amount of something
abatement	n.	the act of abating
abattoir	n.	a building where animals are butchered
abbe	n.	a French abbot
abbess	n.	the superior of a group of nuns
abbey	n.	a church associated with a monastery or convent
abbey	n.	a convent ruled by an abbess
abbey	n.	a monastery ruled by an abbot
abbot	n.	the superior of an abbey of monks
abbreviate	v.	reduce in scope while retaining essential elements
abbreviate	v.	shorten
abbreviation	n.	a shortened form of a word or phrase
abbreviation	n.	shortening something by omitting parts of it
abc	n.	the elementary stages of any subject (usually plural)
abdicate	v.	give up, such as power, as of monarchs and emperors, or duties and obligations
abdication	n.	a formal resignation and renunciation of powers
abdication	n.	the act of abdicating
abdomen	n.	the region of the body of a vertebrate between the thorax and the pelvis
abdomen	n.	the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdominal	n.	the muscles of the abdomen
abdominal	adj.	of or relating to or near the abdomen
abduct	v.	take away to an undisclosed location against their will and usually in order to extract a ransom
abduct	v.	pull away from the body
abduction	n.	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
abduction	n.	(physiology) moving of a body part away from the central axis of the body
abductor	n.	someone who unlawfully seizes and detains a victim (usually for ransom)
abductor	n.	a muscle that draws a body part away from the median line
abeam	adv.	at right angles to the length of a ship or airplane
abel	n.	Norwegian mathematician (1802-1829)
abel	n.	(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cain
abelard	n.	French philosopher and theologian; lover of Heloise (1079-1142)
aberdeen	n.	a town in western Washington
aberdeen	n.	a town in northeastern South Dakota
aberdeen	n.	a town in northeastern Maryland
aberdeen	n.	a city in northeastern Scotland on the North Sea
aberrant	n.	one whose behavior departs substantially from the norm of a group
aberrant	adj.	markedly different from an accepted norm
aberration	n.	a state or condition markedly different from the norm
aberration	n.	a disorder in one's mental state
aberration	n.	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
abet	v.	assist or encourage, usually in some wrongdoing
abetted	v.	assist or encourage, usually in some wrongdoing
abetting	v.	assist or encourage, usually in some wrongdoing
abettor	n.	one who helps or encourages or incites another
abeyance	n.	temporary cessation or suspension
abhor	v.	find repugnant
abhorred	v.	find repugnant
abhorrence	n.	hate coupled with disgust
abhorrent	adj.	offensive to the mind
abhorring	v.	find repugnant
abidance	n.	acting according to certain accepted standards
abidance	n.	the act of dwelling in a place
abidance	n.	the act of abiding (enduring without yielding)
abide	v.	dwell
abide	v.	put up with something or somebody unpleasant
abiding	v.	dwell
abiding	v.	put up with something or somebody unpleasant
abiding	adj.	unceasing
abidjan	n.	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast
abilene	n.	a city in central Texas
abilene	n.	a town in central Kansas to the west of Topeka; home of Dwight D. Eisenhower
ability	n.	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
ability	n.	possession of the qualities (especially mental qualities) required to do something or get something done
abject	adj.	of the most contemptible kind
abject	adj.	most unfortunate or miserable
abject	adj.	showing utter resignation or hopelessness
abject	adj.	showing humiliation or submissiveness
abjection	n.	a low or downcast state; - H.L.Menchken
abjuration	n.	a disavowal or taking back of a previous assertion
abjure	v.	formally reject or disavow a formerly held belief, usually under pressure
abjurer	n.	a person who abjures
ablate	v.	wear away through erosion or vaporization
ablate	v.	remove an organ or bodily structure
ablation	n.	surgical removal of a body part or tissue
ablation	n.	the erosive process that reduces the size of glaciers
ablative	n.	the case indicating the agent in passive sentences or the instrument or manner or place of the action described by the verb
ablative	adj.	relating to the ablative case
ablative	adj.	tending to ablate; i.e. to be removed or vaporized at very high temperature
ablaze	adj.	keenly excited (especially sexually) or indicating excitement; - Bram Stoker
ablaze	adj.	lighted up by or as by fire or flame
ablaze	adj.	resembling flame in brilliance or color
ablaze	adj.	lighted with red light as if with flames
able	adj.	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
able	adj.	have the skills and qualifications to do things well
able	adj.	having inherent physical or mental ability or capacity
able	adj.	having a strong healthy body
abler	adj.	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
abler	adj.	have the skills and qualifications to do things well
abler	adj.	having inherent physical or mental ability or capacity
abler	adj.	having a strong healthy body
abloom	adj.	bursting into flower
ablution	n.	the ritual washing of a priest's hands or of sacred vessels
abm	n.	a defensive missile designed to shoot down incoming intercontinental ballistic missiles
abnegate	v.	deny oneself (something); restrain, especially from indulging in some pleasure
abnegate	v.	surrender (power or a position)
abnegate	v.	deny or renounce
abnegation	n.	the denial and rejection of a doctrine or belief
abnegation	n.	renunciation of your own interests in favor of the interests of others
abnormal	adj.	not normal; not typical or usual or regular or conforming to a norm
abnormal	adj.	departing from the normal in e.g. intelligence and development
abnormal	adj.	much greater than the normal
abnormality	n.	an abnormal physical condition resulting from defective genes or developmental deficiencies
abnormality	n.	retardation sufficient to fall outside the normal range of intelligence
abnormality	n.	marked strangeness as a consequence of being abnormal
abnormality	n.	behavior that breaches the rule or etiquette or custom or morality
aboard	adv.	on a ship, train, plane or other vehicle
aboard	adv.	on first or second or third base
aboard	adv.	side by side
aboard	adv.	part of a group
abode	n.	any address at which you dwell more than temporarily
abode	n.	housing that someone is living in
abode	v.	dwell
abode	v.	put up with something or somebody unpleasant
abolish	v.	do away with
abolition	n.	the act of abolishing a system or practice or institution (especially abolishing slavery)
abolitionism	n.	the doctrine that calls for the abolition of slavery
abolitionist	n.	a reformer who favors abolishing slavery
abominable	adj.	unequivocally detestable; ; ; ; - Edmund Burke
abominable	adj.	exceptionally bad or displeasing
abominably	adv.	in an offensive and hateful manner
abominably	adv.	in a terrible manner
abominate	v.	find repugnant
abomination	n.	a person who is loathsome or disgusting
abomination	n.	hate coupled with disgust
abomination	n.	an action that is vicious or vile; an action that arouses disgust or abhorrence
aboriginal	n.	a dark-skinned member of a race of people living in Australia when Europeans arrived
aboriginal	n.	an indigenous person who was born in a particular place
aboriginal	adj.	of or pertaining to members of the indigenous people of Australia
aboriginal	adj.	characteristic of or relating to people inhabiting a region from the beginning
aboriginal	adj.	having existed from the beginning; in an earliest or original stage or state
aborigine	n.	an indigenous person who was born in a particular place
aborigine	n.	a dark-skinned member of a race of people living in Australia when Europeans arrived
abort	n.	the act of terminating a project or procedure before it is completed
abort	v.	terminate before completion
abort	v.	cease development, die, and be aborted
abort	v.	terminate a pregnancy by undergoing an abortion
abortion	n.	termination of pregnancy
abortion	n.	failure of a plan
abortionist	n.	a person (who should be a doctor) who terminates pregnancies
abortive	adj.	failing to accomplish an intended result
abound	v.	be abundant or plentiful; exist in large quantities
abound	v.	be in a state of movement or action
about	adj.	on the move
about	adv.	(of quantities) imprecise but fairly close to correct
about	adv.	all around or on all sides
about	adv.	in the area or vicinity
about	adv.	used of movement to or among many different places or in no particular direction
about	adv.	in or to a reversed position or direction
about	adv.	in rotation or succession
about	adv.	(of actions or states) slightly short of or not quite accomplished; all but
above	n.	an earlier section of a written text
above	adj.	appearing earlier in the same text
above	adv.	at an earlier place
above	adv.	in or to a place that is higher
aboveboard	adj.	without concealment or deception; honest
aboveboard	adv.	in an honest manner
abracadabra	n.	gibberish and nonsense
abrade	v.	wear away
abrade	v.	rub hard or scrub
abraham	n.	the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham's family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son
abrasion	n.	an abraded area where the skin is torn or worn off
abrasion	n.	erosion by friction
abrasion	n.	the wearing down of rock particles by friction due to water or wind or ice
abrasive	n.	a substance that abrades or wears down
abrasive	adj.	causing abrasion
abrasive	adj.	sharply disagreeable; rigorous
abrasiveness	n.	the roughness of a substance that causes abrasions
abrasiveness	n.	the quality of being sharply disagreeable
abreast	adj.	being up to particular standard or level especially in being up to date in knowledge
abreast	adv.	alongside each other, facing in the same direction
abridge	v.	reduce in scope while retaining essential elements
abridge	v.	lessen, diminish, or curtail
abridgment	n.	a shortened version of a written work
abroad	adj.	in a foreign country
abroad	adv.	to or in a foreign country
abroad	adv.	far away from home or one's usual surroundings; - R.A.Hall
abroad	adv.	in a place across an ocean
abrogate	v.	revoke formally
abrogation	n.	the act of abrogating; an official or legal cancellation
abrogator	n.	an authority or official empowered to abolish or annul or repeal
abrupt	adj.	marked by sudden changes in subject and sharp transitions
abrupt	adj.	exceedingly sudden and unexpected
abrupt	adj.	extremely steep
abrupt	adj.	surprisingly and unceremoniously brusque in manner
abruptness	n.	an abrupt discourteous manner
abruptness	n.	the property possessed by a slope that is very steep
abruptness	n.	the quality of happening with headlong haste or without warning
abs	n.	any of a class of composite plastics used to make car bodies and cases for computers and other appliances
abs	n.	a bachelor's degree in arts and sciences
abs	n.	the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August)
abs	n.	the muscles of the abdomen
abs	n.	the blood group whose red cells carry both the A and B antigens
abscess	n.	symptom consisting of a localized collection of pus surrounded by inflamed tissue
abscissa	n.	the value of a coordinate on the horizontal axis
abscission	n.	shedding of flowers and leaves and fruit following formation of scar tissue in a plant
abscission	n.	the act of cutting something off
abscond	v.	run away; usually includes taking something or somebody along
absconder	n.	a fugitive who runs away and hides to avoid arrest or prosecution
abseil	n.	(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body
abseil	v.	lower oneself with a rope coiled around the body from a mountainside
absence	n.	the state of being absent
absence	n.	failure to be present
absence	n.	the time interval during which something or somebody is away
absence	n.	the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy
absent	v.	go away or leave
absent	adj.	not being in a specified place
absent	adj.	nonexistent
absent	adj.	lost in thought; showing preoccupation
absentee	n.	one that is absent or not in residence
absenteeism	n.	habitual absence from work
absentminded	adj.	lost in thought; showing preoccupation
absentmindedness	n.	preoccupation so great that the ordinary demands on attention are ignored
absinthe	n.	aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe
absinthe	n.	strong green liqueur flavored with wormwood and anise
absolute	n.	something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
absolute	adj.	perfect or complete or pure
absolute	adj.	complete and without restriction or qualification; sometimes used informally as intensifiers
absolute	adj.	not limited by law
absolute	adj.	expressing finality with no implication of possible change
absolute	adj.	not capable of being violated or infringed
absoluteness	n.	the quality of being complete or utter or extreme
absoluteness	n.	the quality of being absolute
absolution	n.	the condition of being formally forgiven by a priest in the sacrament of penance
absolution	n.	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
absolutism	n.	dominance through threat of punishment and violence
absolutism	n.	a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)
absolutism	n.	the principle of complete and unrestricted power in government
absolutism	n.	the doctrine of an absolute being
absolutist	n.	one who advocates absolutism
absolutist	adj.	pertaining to the principle of totalitarianism
absolve	v.	grant remission of a sin to
absolve	v.	let off the hook
absorb	v.	become imbued
absorb	v.	take up mentally
absorb	v.	take up, as of debts or payments
absorb	v.	take in, also metaphorically
absorb	v.	cause to become one with
absorb	v.	suck or take up or in
absorb	v.	devote (oneself) fully to
absorb	v.	assimilate or take in
absorb	v.	consume all of one's attention or time
absorbance	n.	(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation
absorbency	n.	the property of being absorbent
absorbent	n.	a material having capacity or tendency to absorb another substance
absorbent	adj.	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
absorbing	v.	become imbued
absorbing	v.	take up mentally
absorbing	v.	take up, as of debts or payments
absorbing	v.	take in, also metaphorically
absorbing	v.	cause to become one with
absorbing	v.	suck or take up or in
absorbing	v.	devote (oneself) fully to
absorbing	v.	assimilate or take in
absorbing	v.	consume all of one's attention or time
absorbing	adj.	capable of arousing and holding the attention
absorption	n.	(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
absorption	n.	(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium
absorption	n.	the social process of absorbing one cultural group into harmony with another
absorption	n.	the process of absorbing nutrients into the body after digestion
absorption	n.	complete attention; intense mental effort
absorption	n.	the mental state of being preoccupied by something
absorptive	adj.	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
abstain	v.	refrain from voting
abstain	v.	choose not to consume
abstainer	n.	someone who practices self denial as a spiritual discipline
abstainer	n.	a person who refrains from drinking intoxicating beverages
abstemious	adj.	sparing in consumption of especially food and drink; - John Galsworthy
abstemious	adj.	marked by temperance in indulgence
abstemiousness	n.	restricted to bare necessities
abstemiousness	n.	moderation in eating and drinking
abstention	n.	the trait of abstaining (especially from alcohol)
abstinence	n.	the trait of abstaining (especially from alcohol)
abstinence	n.	act or practice of refraining from indulging an appetite
abstinent	n.	a person who refrains from drinking intoxicating beverages
abstinent	adj.	self-restraining; not indulging an appetite especially for food or drink
abstract	n.	a concept or idea not associated with any specific instance
abstract	n.	a sketchy summary of the main points of an argument or theory
abstract	v.	consider a concept without thinking of a specific example; consider abstractly or theoretically
abstract	v.	make off with belongings of others
abstract	v.	consider apart from a particular case or instance
abstract	v.	give an abstract (of)
abstract	adj.	existing only in the mind; separated from embodiment
abstract	adj.	not representing or imitating external reality or the objects of nature
abstract	adj.	dealing with a subject in the abstract without practical purpose or intention
abstracted	v.	consider a concept without thinking of a specific example; consider abstractly or theoretically
abstracted	v.	make off with belongings of others
abstracted	v.	consider apart from a particular case or instance
abstracted	v.	give an abstract (of)
abstracted	adj.	lost in thought; showing preoccupation
abstractedness	n.	preoccupation with something to the exclusion of all else
abstraction	n.	a concept or idea not associated with any specific instance
abstraction	n.	the act of withdrawing or removing something
abstraction	n.	the process of formulating general concepts by abstracting common properties of instances
abstraction	n.	an abstract painting
abstraction	n.	preoccupation with something to the exclusion of all else
abstraction	n.	a general concept formed by extracting common features from specific examples
abstractness	n.	the quality of being considered apart from a specific instance or object
abstruse	adj.	difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
abstruseness	n.	the quality of being unclear or abstruse and hard to understand
abstruseness	n.	wisdom that is recondite and abstruse and profound
absurd	n.	a situation in which life seems irrational and meaningless; --Albert Camus
absurd	adj.	inconsistent with reason or logic or common sense; - Walter Lippman
absurd	adj.	incongruous;inviting ridicule
absurdity	n.	a message whose content is at variance with reason
absurdity	n.	a ludicrous folly
absurdness	n.	a message whose content is at variance with reason
abuja	n.	capital of Nigeria in the center of the country
abundance	n.	the property of a more than adequate quantity or supply
abundance	n.	(physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
abundance	n.	(chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million
abundant	adj.	present in great quantity
abuse	n.	cruel or inhumane treatment
abuse	n.	a rude expression intended to offend or hurt
abuse	n.	improper or excessive use
abuse	v.	treat badly
abuse	v.	change the inherent purpose or function of something
abuse	v.	use foul or abusive language towards
abuse	v.	use wrongly or improperly or excessively
abuser	n.	someone who abuses
abusive	adj.	expressing offensive reproach
abusive	adj.	characterized by physical or psychological maltreatment
abut	v.	lie adjacent to another or share a boundary
abutment	n.	point of contact between two objects or parts
abutment	n.	a masonry support that touches and directly receives thrust or pressure of an arch or bridge
abutted	v.	lie adjacent to another or share a boundary
abutting	v.	lie adjacent to another or share a boundary
abuzz	adj.	noisy like the sound of a bee
abysmal	adj.	very great; limitless
abysmal	adj.	resembling an abyss in depth; so deep as to be unmeasurable
abyss	n.	a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
abyssal	adj.	relating to ocean depths from 2000 to 5000 meters
abyssal	adj.	resembling an abyss in depth; so deep as to be unmeasurable
abyssinia	n.	Ethiopia is a republic in northeastern Africa on the Red Sea; formerly called Abyssinia
abyssinian	n.	a small slender short-haired breed of African origin having brownish fur with a reddish undercoat
ac	n.	a radioactive element of the actinide series; found in uranium ores
ac	n.	an electric current that reverses direction sinusoidally
acacia	n.	any of various spiny trees or shrubs of the genus Acacia
academe	n.	the academic world
academia	n.	the academic world
academic	n.	an educator who works at a college or university
academic	adj.	associated with academia or an academy
academic	adj.	hypothetical or theoretical and not expected to produce an immediate or practical result
academic	adj.	marked by a narrow focus on or display of learning especially its trivial aspects
academician	n.	someone elected to honorary membership in an academy
academician	n.	a scholar who is skilled in academic disputation
academician	n.	an educator who works at a college or university
academy	n.	a secondary school (usually private)
academy	n.	an institution for the advancement of art or science or literature
academy	n.	a school for special training
academy	n.	a learned establishment for the advancement of knowledge
acadia	n.	the French-speaking part of the Canadian Maritime Provinces
acanthus	n.	any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated
acapulco	n.	a port and fashionable resort city on the Pacific coast of southern Mexico; known for beaches and water sports (including cliff diving)
accede	v.	yield to another's wish or opinion
accede	v.	take on duties or office
accede	v.	to agree or express agreement
accelerate	v.	move faster
accelerate	v.	cause to move faster
acceleration	n.	an increase in rate of change
acceleration	n.	the act of accelerating; increasing the speed
acceleration	n.	(physics) a rate of increase of velocity
accelerator	n.	a pedal that controls the throttle valve
accelerator	n.	a valve that regulates the supply of fuel to the engine
accelerator	n.	(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
accelerator	n.	a scientific instrument that increases the kinetic energy of charged particles
accent	n.	distinctive manner of oral expression
accent	n.	special importance or significance
accent	n.	the usage or vocabulary that is characteristic of a specific group of people
accent	n.	the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
accent	n.	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
accent	v.	to stress, single out as important
accent	v.	put stress on; utter with an accent
accented	v.	to stress, single out as important
accented	v.	put stress on; utter with an accent
accented	adj.	used of syllables
accented	adj.	bearing a stress or accent
accentual	adj.	of or pertaining to accent or stress
accentual	adj.	(of verse) having a metric system based on stress rather than syllables or quantity
accentuate	v.	to stress, single out as important
accentuate	v.	put stress on; utter with an accent
accentuation	n.	the use or application of an accent; the relative prominence of syllables in a phrase or utterance
accentuation	n.	the act of giving special importance or significance to something
accept	v.	consider or hold as true
accept	v.	receive willingly something given or offered
accept	v.	give an affirmative reply to; respond favorably to
accept	v.	react favorably to; consider right and proper
accept	v.	admit into a group or community
accept	v.	take on as one's own the expenses or debts of another person
accept	v.	tolerate or accommodate oneself to
accept	v.	be designed to hold or take
accept	v.	receive (a report) officially, as from a committee
accept	v.	make use of or accept for some purpose
accept	v.	be sexually responsive to, used of a female domesticated mammal
acceptability	n.	satisfactoriness by virtue of conforming to approved standards
acceptableness	n.	satisfactoriness by virtue of conforming to approved standards
acceptably	adv.	in an acceptable (but not outstanding) manner
acceptance	n.	the mental attitude that something is believable and should be accepted as true
acceptance	n.	the act of accepting with approval; favorable reception
acceptance	n.	the state of being acceptable and accepted
acceptance	n.	(contract law) words signifying consent to the terms of an offer (thereby creating a contract)
acceptance	n.	banking: a time draft drawn on and accepted by a bank
acceptance	n.	a disposition to tolerate or accept people or situations
acceptance	n.	the act of taking something that is offered
acceptation	n.	acceptance as true or valid
acceptation	n.	the accepted meaning of a word
acceptation	n.	the act of accepting with approval; favorable reception
accepted	v.	consider or hold as true
accepted	v.	receive willingly something given or offered
accepted	v.	give an affirmative reply to; respond favorably to
accepted	v.	react favorably to; consider right and proper
accepted	v.	admit into a group or community
accepted	v.	take on as one's own the expenses or debts of another person
accepted	v.	tolerate or accommodate oneself to
accepted	v.	be designed to hold or take
accepted	v.	receive (a report) officially, as from a committee
accepted	v.	make use of or accept for some purpose
accepted	v.	be sexually responsive to, used of a female domesticated mammal
accepted	adj.	generally approved or compelling recognition
access	n.	the right to enter
access	n.	the right to obtain or make use of or take advantage of something (as services or membership)
access	n.	a way of entering or leaving
access	n.	a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
access	n.	(computer science) the operation of reading or writing stored information
access	n.	the act of approaching or entering
access	v.	obtain or retrieve from a storage device; as of information on a computer
access	v.	reach or gain access to
accessibility	n.	the quality of being at hand when needed
accessibility	n.	the attribute of being easy to meet or deal with
accessible	adj.	capable of being reached
accessible	adj.	capable of being read with comprehension
accessible	adj.	easily obtained
accessible	adj.	easy to get along with or talk to; friendly
accession	n.	a process of increasing by addition (as to a collection or group)
accession	n.	(civil law) the right to all of that which your property produces whether by growth or improvement
accession	n.	something added to what you already have
accession	n.	agreeing with or consenting to (often unwillingly)
accession	n.	the right to enter
accession	n.	the act of attaining or gaining access to a new office or right or position (especially the throne)
